Date,Volume therms
31/07/2023,4111.17
01/08/2023,3987.09
02/08/2023,4037.33
03/08/2023,3997.92
04/08/2023,4059.61
05/08/2023,3354.2
06/08/2023,3306.1
07/08/2023,4716.04
08/08/2023,4742.15
09/08/2023,4520.77
10/08/2023,4406.22
11/08/2023,4095.12
12/08/2023,3257.58
13/08/2023,3372.31
14/08/2023,4507.52
15/08/2023,4461.02
16/08/2023,4430.74
17/08/2023,4424.52
18/08/2023,4120.55
19/08/2023,3248.44
20/08/2023,3350.7
21/08/2023,4416.63
22/08/2023,4414.92
23/08/2023,4420.92
24/08/2023,4481.87
25/08/2023,4289.65
26/08/2023,3434.05
27/08/2023,3493.52
28/08/2023,3509.19
29/08/2023,4787.16
30/08/2023,4811.85
31/08/2023,4864.37
01/09/2023,4291.96
02/09/2023,3289.11
03/09/2023,3315.53
04/09/2023,4350.17
05/09/2023,4351.13
06/09/2023,4346.26
07/09/2023,4344.36
08/09/2023,4025.27
09/09/2023,3198.15
10/09/2023,3298.76
11/09/2023,4349.32
12/09/2023,4489.81
13/09/2023,4606.02
14/09/2023,4616.22
15/09/2023,4232.03
16/09/2023,3403.74
17/09/2023,3491.18
18/09/2023,4744.63
19/09/2023,4774.5
20/09/2023,4813.48
21/09/2023,4964.53
22/09/2023,4886.78
23/09/2023,3903.1
24/09/2023,3723.84
25/09/2023,5154.9
26/09/2023,5178.56
27/09/2023,5232.1
28/09/2023,5256.31
29/09/2023,4908.57
30/09/2023,4059.97
01/10/2023,4242.81
02/10/2023,5681.36
03/10/2023,5950.99
04/10/2023,5969.81
05/10/2023,5887.98
06/10/2023,5260.03
07/10/2023,4161.3
08/10/2023,4206.37
09/10/2023,5463.68
10/10/2023,5494.65
11/10/2023,5853.57
12/10/2023,6296.92
13/10/2023,6111.37
14/10/2023,5659.85
15/10/2023,6351.65
16/10/2023,8489.57
17/10/2023,8023.19
18/10/2023,7525.36
19/10/2023,6573.86
20/10/2023,6627.57
21/10/2023,5580.36
22/10/2023,5855.14
23/10/2023,7681.1
24/10/2023,7746.84
25/10/2023,8006.73
26/10/2023,7871.1
27/10/2023,7503.25
28/10/2023,5966.51
29/10/2023,6144.61
30/10/2023,8013.96
31/10/2023,8058.41
01/11/2023,8474.55
02/11/2023,9026.21
03/11/2023,8372.53
04/11/2023,7042.62
05/11/2023,7088.69
06/11/2023,9194.33
07/11/2023,9334.59
08/11/2023,9436.35
09/11/2023,9707.53
10/11/2023,9387.41
11/11/2023,7749.92
12/11/2023,7974.04
13/11/2023,9233.27
14/11/2023,9166.2
15/11/2023,9397.47
16/11/2023,10040.99
17/11/2023,9352.21
18/11/2023,6932.73
19/11/2023,6824.5
20/11/2023,8984.88
21/11/2023,9483.75
22/11/2023,9530.33
23/11/2023,9160.43
24/11/2023,9632.3
25/11/2023,8560.25
26/11/2023,8864.68
27/11/2023,11300.6
